doc.value,author.value,author_name.value,coauthors.value
https://data.archives-ouvertes.fr/document/hal-02348004v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Andrea G. B. Tettamanzi&https://data.archives-ouvertes.fr/author/andrea-g-b-tettamanzi--Molka Tounsi Dhouib&https://data.archives-ouvertes.fr/author/molka-tounsi-dhouib
https://data.archives-ouvertes.fr/document/hal-01245883v4,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Franck Michel&https://data.archives-ouvertes.fr/author/fmichel--Johan Montagnat&https://data.archives-ouvertes.fr/author/johan-montagnat
https://data.archives-ouvertes.fr/document/hal-01619781v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Cristhian Figueroa&https://data.archives-ouvertes.fr/author/1396616--Iacopo Vagliano&https://data.archives-ouvertes.fr/author/1656131--Juan Carlos Corrales&https://data.archives-ouvertes.fr/author/353626--Marco Torchiano&https://data.archives-ouvertes.fr/author/1396618--Maurizio Morisio&https://data.archives-ouvertes.fr/author/1396619--Oscar Rodríguez Rocha&https://data.archives-ouvertes.fr/author/oscarrodriguez
https://data.archives-ouvertes.fr/document/hal-01870950v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Fabien Gandon&https://data.archives-ouvertes.fr/author/fabien-gandon--Géraud Fokou Pelap&https://data.archives-ouvertes.fr/author/geraud-fokou-pelap
https://data.archives-ouvertes.fr/document/hal-01529743v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Olivier Corby&https://data.archives-ouvertes.fr/author/1549025
https://data.archives-ouvertes.fr/document/hal-01235843v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Franck Michel&https://data.archives-ouvertes.fr/author/fmichel--Johan Montagnat&https://data.archives-ouvertes.fr/author/johan-montagnat--Loïc Djimenou&https://data.archives-ouvertes.fr/author/1253721
https://data.archives-ouvertes.fr/document/hal-01619838v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Géraud Fokou Pelap&https://data.archives-ouvertes.fr/author/1656424--Oscar Rodríguez Rocha&https://data.archives-ouvertes.fr/author/oscarrodriguez
https://data.archives-ouvertes.fr/document/hal-00746772v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Alban Gaignard&https://data.archives-ouvertes.fr/author/alban-gaignard--Johan Montagnat&https://data.archives-ouvertes.fr/author/johan-montagnat--Olivier Corby&https://data.archives-ouvertes.fr/author/oliviercorby
https://data.archives-ouvertes.fr/document/hal-01302948v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Anne-Marie Déry-Pinna&https://data.archives-ouvertes.fr/author/1063908--Audrey Occello&https://data.archives-ouvertes.fr/author/audrey-occello--Christian Brel&https://data.archives-ouvertes.fr/author/605015--Michel Riveill&https://data.archives-ouvertes.fr/author/michel-riveill--Philippe Renevier&https://data.archives-ouvertes.fr/author/philippe-renevier-gonin
https://data.archives-ouvertes.fr/document/hal-01379996v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Cristhian Figueroa&https://data.archives-ouvertes.fr/author/1396616--Iacopo Vagliano&https://data.archives-ouvertes.fr/author/1396615--Marco Torchiano&https://data.archives-ouvertes.fr/author/1396618--Maurizio Morisio&https://data.archives-ouvertes.fr/author/1396619--Oscar Rodríguez Rocha&https://data.archives-ouvertes.fr/author/oscarrodriguez
https://data.archives-ouvertes.fr/document/hal-01758737v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Oscar Rodríguez Rocha&https://data.archives-ouvertes.fr/author/oscarrodriguez
https://data.archives-ouvertes.fr/document/hal-01066663v2,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Franck Michel&https://data.archives-ouvertes.fr/author/fmichel--Johan Montagnat&https://data.archives-ouvertes.fr/author/johan-montagnat--Loïc Djimenou&https://data.archives-ouvertes.fr/author/1076439
https://data.archives-ouvertes.fr/document/hal-01239773v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Antoine Zimmermann&https://data.archives-ouvertes.fr/author/1243984--Christophe Guéret&https://data.archives-ouvertes.fr/author/175676--Fabien Gandon&https://data.archives-ouvertes.fr/author/fabien-gandon--John Breslin&https://data.archives-ouvertes.fr/author/1257460--Serena Villata&https://data.archives-ouvertes.fr/author/serena-villata
https://data.archives-ouvertes.fr/document/hal-01589250v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Alain Giboin&https://data.archives-ouvertes.fr/author/alain-giboin--Elena Cabrio&https://data.archives-ouvertes.fr/author/1184174--Francesco Piccoli&https://data.archives-ouvertes.fr/author/1617918--Gabriel Meseguer-Brocal&https://data.archives-ouvertes.fr/author/1617353--Geoffroy Peeters&https://data.archives-ouvertes.fr/author/geoffroy-peeters--Guillaume Pellerin&https://data.archives-ouvertes.fr/author/1617354--Isabelle Mirbel&https://data.archives-ouvertes.fr/author/1151526--Manuel Moussallam&https://data.archives-ouvertes.fr/author/722150--Michel Buffa&https://data.archives-ouvertes.fr/author/1535818--Romain Hennequin&https://data.archives-ouvertes.fr/author/1617356--Thomas Fillon&https://data.archives-ouvertes.fr/author/1617359
https://data.archives-ouvertes.fr/document/hal-02064421v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,David Darmon&https://data.archives-ouvertes.fr/author/david-darmon--Fabien Gandon&https://data.archives-ouvertes.fr/author/fabien-gandon--Raphaël Gazzotti&https://data.archives-ouvertes.fr/author/rgazzott--Virginie Lacroix-Hugues&https://data.archives-ouvertes.fr/author/1472363
https://data.archives-ouvertes.fr/document/hal-01188202v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Oscar Rodríguez Rocha&https://data.archives-ouvertes.fr/author/oscarrodriguez
https://data.archives-ouvertes.fr/document/hal-01066663v4,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Franck Michel&https://data.archives-ouvertes.fr/author/fmichel--Johan Montagnat&https://data.archives-ouvertes.fr/author/johan-montagnat--Loïc Djimenou&https://data.archives-ouvertes.fr/author/1076439
https://data.archives-ouvertes.fr/document/hal-02571170v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Alain Giboin&https://data.archives-ouvertes.fr/author/alain-giboin--Aurélie Lagarrigue&https://data.archives-ouvertes.fr/author/1249747--Oscar Rodríguez Rocha&https://data.archives-ouvertes.fr/author/oscarrodriguez
https://data.archives-ouvertes.fr/document/hal-01402901v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Fabien Gandon&https://data.archives-ouvertes.fr/author/fabien-gandon--Olivier Corby&https://data.archives-ouvertes.fr/author/oliviercorby
https://data.archives-ouvertes.fr/document/hal-02389918v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,David Darmon&https://data.archives-ouvertes.fr/author/david-darmon--Fabien Gandon&https://data.archives-ouvertes.fr/author/fabien-gandon--Raphaël Gazzotti&https://data.archives-ouvertes.fr/author/rgazzott--Virginie Lacroix-Hugues&https://data.archives-ouvertes.fr/author/1472363
https://data.archives-ouvertes.fr/document/hal-01155644v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Olivier Corby&https://data.archives-ouvertes.fr/author/oliviercorby
https://data.archives-ouvertes.fr/document/hal-01075944v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Fabien Gandon&https://data.archives-ouvertes.fr/author/fabien-gandon--Ge Song&https://data.archives-ouvertes.fr/author/956637--Zide Meng&https://data.archives-ouvertes.fr/author/1088782
https://data.archives-ouvertes.fr/document/hal-01337308v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Franck Michel&https://data.archives-ouvertes.fr/author/fmichel--Johan Montagnat&https://data.archives-ouvertes.fr/author/johan-montagnat--Loïc Djimenou&https://data.archives-ouvertes.fr/author/1253721
https://data.archives-ouvertes.fr/document/hal-01202126v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Michel Buffa&https://data.archives-ouvertes.fr/author/1535818
https://data.archives-ouvertes.fr/document/hal-01559088v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Olivier Corby&https://data.archives-ouvertes.fr/author/oliviercorby--Raphaël Gazzotti&https://data.archives-ouvertes.fr/author/rgazzott
https://data.archives-ouvertes.fr/document/hal-01186048v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Olivier Corby&https://data.archives-ouvertes.fr/author/oliviercorby
https://data.archives-ouvertes.fr/document/hal-01186047v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Fabien Gandon&https://data.archives-ouvertes.fr/author/fabien-gandon--Olivier Corby&https://data.archives-ouvertes.fr/author/oliviercorby
https://data.archives-ouvertes.fr/document/hal-01084444v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Andrea G. B. Tettamanzi&https://data.archives-ouvertes.fr/author/andrea-g-b-tettamanzi--Fabien Gandon&https://data.archives-ouvertes.fr/author/fabien-gandon
https://data.archives-ouvertes.fr/document/hal-01066663v5,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Franck Michel&https://data.archives-ouvertes.fr/author/fmichel--Johan Montagnat&https://data.archives-ouvertes.fr/author/johan-montagnat--Loïc Djimenou&https://data.archives-ouvertes.fr/author/1076439
https://data.archives-ouvertes.fr/document/hal-01839575v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Andrea G. B. Tettamanzi&https://data.archives-ouvertes.fr/author/andrea-g-b-tettamanzi--Molka Tounsi Dhouib&https://data.archives-ouvertes.fr/author/molka-tounsi-dhouib
https://data.archives-ouvertes.fr/document/hal-01187413v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Amine Hallili&https://data.archives-ouvertes.fr/author/1198246--Andrea G. B. Tettamanzi&https://data.archives-ouvertes.fr/author/andrea-g-b-tettamanzi--Elena Cabrio&https://data.archives-ouvertes.fr/author/1089405--Fabien Gandon&https://data.archives-ouvertes.fr/author/fabien-gandon
https://data.archives-ouvertes.fr/document/hal-02058664v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Andrea G. B. Tettamanzi&https://data.archives-ouvertes.fr/author/andrea-g-b-tettamanzi--Elena Cabrio&https://data.archives-ouvertes.fr/author/1184174--Fabien Gandon&https://data.archives-ouvertes.fr/author/fabien-gandon--Franck Michel&https://data.archives-ouvertes.fr/author/fmichel--Michel Buffa&https://data.archives-ouvertes.fr/author/1535818--Olivier Corby&https://data.archives-ouvertes.fr/author/oliviercorby--Serena Villata&https://data.archives-ouvertes.fr/author/serena-villata
https://data.archives-ouvertes.fr/document/hal-01450784v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Alain Zarli&https://data.archives-ouvertes.fr/author/115625--Anastasiya Yurchyshyna&https://data.archives-ouvertes.fr/author/432664--Nhan Le Thanh&https://data.archives-ouvertes.fr/author/1100037
https://data.archives-ouvertes.fr/document/hal-01322950v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Andrea G. B. Tettamanzi&https://data.archives-ouvertes.fr/author/andrea-g-b-tettamanzi--Irene Pajón Leyra&https://data.archives-ouvertes.fr/author/1344575--Konstantina Poulida&https://data.archives-ouvertes.fr/author/1343502
https://data.archives-ouvertes.fr/document/hal-01160070v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Alexandre Monnin&https://data.archives-ouvertes.fr/author/alexandre-monnin--Arnaud Zucker&https://data.archives-ouvertes.fr/author/482588--Isabelle Draelants&https://data.archives-ouvertes.fr/author/isabelle-draelants
https://data.archives-ouvertes.fr/document/hal-01066663v3,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Franck Michel&https://data.archives-ouvertes.fr/author/fmichel--Johan Montagnat&https://data.archives-ouvertes.fr/author/johan-montagnat--Loïc Djimenou&https://data.archives-ouvertes.fr/author/1076439
https://data.archives-ouvertes.fr/document/hal-01293968v1,https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker,Fabien Gandon&https://data.archives-ouvertes.fr/author/fabien-gandon--Zide Meng&https://data.archives-ouvertes.fr/author/1316852
