author.value,doc.value,title.value,versionOf.value,issuedAt.value,lab.value,labName.value,type.value,country.value,availableAt.value,nameAgg.value,nameAuth.value,address.value,citation.value
https://data.archives-ouvertes.fr/author/52449,https://data.archives-ouvertes.fr/document/hal-03098087v1,Wave Function Microscopy of Quasibound Atomic States,https://data.archives-ouvertes.fr/document/hal-03098087,2013-05-01,https://data.archives-ouvertes.fr/structure/310258,"Max-Born-institut, Berlin",http://purl.org/spar/fabio/Article,France,2021-01-05,,M. J. J. Vrakking,,S. Cohen-- M. Harb-- A. Ollagnier-- F. Robicheaux-- M. J. J. Vrakking-- et al.. Wave Function Microscopy of Quasibound Atomic States. Physical Review Letters-- American Physical Society-- 2013-- 110 (18)-- &#x27E8;10.1103/PhysRevLett.110.183001&#x27E9;. &#x27E8;hal-03098087&#x27E9;
https://data.archives-ouvertes.fr/author/52449,https://data.archives-ouvertes.fr/document/hal-02307271v1,XUV excitation followed by ultrafast non-adiabatic relaxation in PAH molecules as a femto-astrochemistry experiment,https://data.archives-ouvertes.fr/document/hal-02307271,2015-01-01,https://data.archives-ouvertes.fr/structure/310258,"Max-Born-institut, Berlin",http://purl.org/spar/fabio/Article,France,2021-02-04,,M. J. J. Vrakking,,Alexandre Marciniak-- V. Despre-- Thomas Barillot-- A. Rouzee-- M. C. E. Galbraith-- et al.. XUV excitation followed by ultrafast non-adiabatic relaxation in PAH molecules as a femto-astrochemistry experiment. Nature Communications-- Nature Publishing Group-- 2015-- 6-- pp.7909. &#x27E8;10.1038/ncomms8909&#x27E9;. &#x27E8;hal-02307271&#x27E9;
https://data.archives-ouvertes.fr/author/52449,https://data.archives-ouvertes.fr/document/hal-03014064v1,Single-Size Thermometric Measurements on a Size Distribution of Neutral Fullerenes,https://data.archives-ouvertes.fr/document/hal-03014064,2013-05-01,https://data.archives-ouvertes.fr/structure/310258,"Max-Born-institut, Berlin",http://purl.org/spar/fabio/Article,France,2021-02-16,,M. J. J. Vrakking,,C. Cauchy-- J. M. Bakker-- Y. Huismans-- A. Rouzée-- B. Redlich-- et al.. Single-Size Thermometric Measurements on a Size Distribution of Neutral Fullerenes. Physical Review Letters-- American Physical Society-- 2013-- 110 (19)-- pp.193401. &#x27E8;10.1103/PhysRevLett.110.193401&#x27E9;. &#x27E8;hal-03014064&#x27E9;
https://data.archives-ouvertes.fr/author/52449,https://data.archives-ouvertes.fr/document/hal-03055046v1,Hydrogen Atoms under Magnification: Direct Observation of the Nodal Structure of Stark States,https://data.archives-ouvertes.fr/document/hal-03055046,2013-05-01,https://data.archives-ouvertes.fr/structure/310258,"Max-Born-institut, Berlin",http://purl.org/spar/fabio/Article,France,2020-12-11,,M. J. J. Vrakking,,A. S. Stodolna-- A. Rouzée-- Franck Lépine-- S. Cohen-- F. Robicheaux-- et al.. Hydrogen Atoms under Magnification: Direct Observation of the Nodal Structure of Stark States. Physical Review Letters-- American Physical Society-- 2013-- 110 (21)-- pp.213001. &#x27E8;10.1103/PhysRevLett.110.213001&#x27E9;. &#x27E8;hal-03055046&#x27E9;
https://data.archives-ouvertes.fr/author/95138,https://data.archives-ouvertes.fr/document/hal-00080736v1,A Classification of the Projective Lines over Small Rings II. Non-Commutative Case,https://data.archives-ouvertes.fr/document/hal-00080736,2006-06-20,https://data.archives-ouvertes.fr/structure/13785,J. Heyrovsky Institute of Physical Chemistry,http://purl.org/spar/fabio/Preprint,République tchèque,2006-06-20,,Petr Pracna,"Dolejskova 3, CZ-182 23 Prague 8",Metod Saniga-- Michel Planat-- Petr Pracna. A Classification of the Projective Lines over Small Rings II. Non-Commutative Case. 2006. &#x27E8;hal-00080736&#x27E9;
https://data.archives-ouvertes.fr/author/95138,https://data.archives-ouvertes.fr/document/hal-00111733v1,Projective Ring Line Encompassing Two-Qubits,https://data.archives-ouvertes.fr/document/hal-00111733,2006-11-06,https://data.archives-ouvertes.fr/structure/13785,J. Heyrovsky Institute of Physical Chemistry,http://purl.org/spar/fabio/Preprint,République tchèque,2006-11-06,,Petr Pracna,"Dolejskova 3, CZ-182 23 Prague 8",Metod Saniga-- Michel Planat-- Petr Pracna. Projective Ring Line Encompassing Two-Qubits. 2006. &#x27E8;hal-00111733v1&#x27E9;
https://data.archives-ouvertes.fr/author/95138,https://data.archives-ouvertes.fr/document/hal-00111733v2,Projective Ring Line Encompassing Two-Qubits,https://data.archives-ouvertes.fr/document/hal-00111733,2006-11-13,https://data.archives-ouvertes.fr/structure/13785,J. Heyrovsky Institute of Physical Chemistry,http://purl.org/spar/fabio/Preprint,République tchèque,2006-11-13,,Petr Pracna,"Dolejskova 3, CZ-182 23 Prague 8",Metod Saniga-- Michel Planat-- Petr Pracna. Projective Ring Line Encompassing Two-Qubits. 2006. &#x27E8;hal-00111733v2&#x27E9;
https://data.archives-ouvertes.fr/author/95138,https://data.archives-ouvertes.fr/document/hal-00111733v3,Projective Ring Line Encompassing Two-Qubits,https://data.archives-ouvertes.fr/document/hal-00111733,2006-12-05,https://data.archives-ouvertes.fr/structure/13785,J. Heyrovsky Institute of Physical Chemistry,http://purl.org/spar/fabio/Preprint,République tchèque,2006-12-05,,Petr Pracna,"Dolejskova 3, CZ-182 23 Prague 8",Metod Saniga-- Michel Planat-- Petr Pracna. Projective Ring Line Encompassing Two-Qubits. 2006. &#x27E8;hal-00111733v3&#x27E9;
https://data.archives-ouvertes.fr/author/95138,https://data.archives-ouvertes.fr/document/hal-00111733v4,Projective Ring Line Encompassing Two-Qubits,https://data.archives-ouvertes.fr/document/hal-00111733,2006-12-11,https://data.archives-ouvertes.fr/structure/13785,J. Heyrovsky Institute of Physical Chemistry,http://purl.org/spar/fabio/Preprint,République tchèque,2006-12-11,,Petr Pracna,"Dolejskova 3, CZ-182 23 Prague 8",Metod Saniga-- Michel Planat-- Petr Pracna. Projective Ring Line Encompassing Two-Qubits. 2006. &#x27E8;hal-00111733v4&#x27E9;
https://data.archives-ouvertes.fr/author/95138,https://data.archives-ouvertes.fr/document/hal-00111733v5,Projective Ring Line Encompassing Two-Qubits,https://data.archives-ouvertes.fr/document/hal-00111733,2008-01-01,https://data.archives-ouvertes.fr/structure/13785,J. Heyrovsky Institute of Physical Chemistry,http://purl.org/spar/fabio/Article,République tchèque,2006-12-28,,Petr Pracna,"Dolejskova 3, CZ-182 23 Prague 8",Metod Saniga-- Michel Planat-- Petr Pracna. Projective Ring Line Encompassing Two-Qubits. Theoretical and Mathematical Physics-- Consultants bureau-- 2008-- 155 (3)-- pp.905-913. &#x27E8;10.1007/s11232-008-0076-x&#x27E9;. &#x27E8;hal-00111733v5&#x27E9;
